%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508405707157284340,118,1508405707156978221,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30633226037,1.32984662056,-0.00348053243943,0.0153453322127,0.0153453322127,-0.0175591055304,0.00195502093993,-100.041046143,-100.041046143,-139.001937866,-0.573424637318,2021,2061,2222,2038,2038,2916,3376,3405,3248,3345,3080,2905,3037,2956,3126,2742,3331,3353,3186,3271,2915,3264,3321,3051,0.010010279,1.179982319,1.181212922,0.680678427219,4500.0,0.655398130417,0.0335982739925,-0.025280283764,113.761283875,1.34390354156,6000.0,1.3297008276,0.0230206232518,-0.014202660881,77.4708633423,0.349065840244,0.0216827709228,0.00840198807418,0.000813452526927,-0.00151387392543,-0.00151387392543,-0.000942801940255,0.0091585163027,-0.405269175768,-0.405269175768,-2.39695858955,0.447395443916,2033,2025,2541,2034,2034,2928,3427,3440,3253,3376,3102,3063,3165,3157,3245,2860,3411,3419,3248,3370,3134,3355,3391,3197
1508405707167270794,119,1508405707166981776,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30363330245,1.32967483997,-0.0035325884819,-0.00989214796573,-0.00989214796573,0.023326266557,0.00259017501958,-100.149154663,-100.149154663,-138.934692383,-0.384516090155,2021,2064,2222,2038,2038,2916,3376,3391,3235,3333,3071,2897,3028,2951,3119,2737,3323,3353,3186,3271,2915,3264,3321,3051,0.010004661,1.18998639,1.190554659,0.680678427219,4500.0,0.654048621655,0.00667429808527,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.32963955402,-0.0144885042682,-0.0142639959231,89.4019241333,0.349065840244,0.0216827709228,0.00845596659929,0.000679176591802,-0.00250190473162,-0.00250190473162,-0.00139461026993,-0.0143412640318,-0.290797591209,-0.290797591209,-2.69267773628,0.54309207201,2030,2026,2541,2034,2034,2928,3427,3425,3242,3366,3094,3056,3158,3149,3238,2856,3406,3419,3248,3370,3134,3355,3391,3197
1508405707177215131,120,1508405707176984745,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30363330245,1.32967483997,-0.0035325884819,-0.00989214796573,-0.00989214796573,0.023326266557,0.00259017501958,-100.149154663,-100.149154663,-138.934692383,-0.384516090155,2020,2066,2222,2038,2038,2916,3376,3391,3235,3333,3071,2897,3028,2951,3119,2737,3323,3349,3180,3265,2908,3261,3319,3047,0.010001836,1.199989168,1.20022032,0.680678427219,4500.0,0.652699172497,-0.0198311693966,-0.027979247272,125.906616211,1.34390354156,6000.0,1.32965993881,0.0243466123939,-0.0142435608432,78.6907424927,0.349065840244,0.0216827709228,0.00845596659929,0.000679176591802,-0.00250190473162,-0.00250190473162,-0.00139461026993,-0.0143412640318,-0.290797591209,-0.290797591209,-2.69267773628,0.54309207201,2033,2022,2542,2034,2034,2928,3427,3425,3242,3366,3094,3056,3158,3149,3238,2856,3406,3415,3241,3367,3130,3351,3388,3193
1508405707187426597,121,1508405707187010668,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30363330245,1.32967483997,-0.0035325884819,-0.00989214796573,-0.00989214796573,0.023326266557,0.00259017501958,-100.149154663,-100.149154663,-138.934692383,-0.384516090155,2019,2061,2222,2038,2038,2915,3374,3388,3233,3331,3070,2895,3027,2949,3117,2737,3323,3349,3180,3265,2908,3261,3319,3047,0.010026816,1.210015803,1.213244736,0.680678427219,4500.0,0.654048621655,0.0065481220372,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.32964241505,-0.014186677523,-0.0142610995099,89.5297012329,0.349065840244,0.0216827709228,0.00845596659929,0.000679176591802,-0.00250190473162,-0.00250190473162,-0.00139461026993,-0.0143412640318,-0.290797591209,-0.290797591209,-2.69267773628,0.54309207201,2028,2024,2542,2034,2034,2925,3424,3422,3241,3364,3091,3055,3158,3149,3236,2856,3406,3415,3241,3367,3130,3351,3388,3193
1508405707197260788,122,1508405707197007569,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30363330245,1.32967483997,-0.0035325884819,-0.00989214796573,-0.00989214796573,0.023326266557,0.00259017501958,-100.149154663,-100.149154663,-138.934692383,-0.384516090155,2011,2060,2222,2038,2038,2915,3374,3388,3233,3331,3070,2895,3027,2949,3117,2736,3322,3348,3178,3265,2909,3258,3318,3047,0.009997808,1.220013086,1.219732576,0.680678427219,4500.0,0.654048621655,0.00587091175839,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.32955801487,-0.0123183326796,-0.0143455090001,89.5394592285,0.349065840244,0.0216827709228,0.00845596659929,0.000679176591802,-0.00250190473162,-0.00250190473162,-0.00139461026993,-0.0143412640318,-0.290797591209,-0.290797591209,-2.69267773628,0.54309207201,2026,2020,2543,2034,2034,2925,3424,3422,3241,3364,3091,3055,3158,3149,3236,2855,3405,3414,3242,3364,3130,3352,3388,3191
1508405707207339401,123,1508405707206979680,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30498278141,1.32956695557,-0.00349689298309,0.0031759981066,0.0031759981066,-0.012554815039,-0.00767938327044,-99.8895874023,-99.8895874023,-138.998886108,-0.280592471361,2021,2058,2222,2034,2034,2913,3373,3389,3231,3331,3069,2894,3028,2949,3117,2736,3322,3348,3178,3265,2909,3258,3318,3047,0.009968833,1.229983901,1.226166459,0.680678427219,4500.0,0.654048621655,0.00682398909703,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.32963466644,0.0253340285271,-0.0142688630149,78.2419128418,0.349065840244,0.0216827709228,0.00841847155243,0.000792565464508,-0.00121786713134,-0.00121786713134,-0.00100250355899,-0.0162773765624,-0.19511012733,-0.19511012733,-1.17880630493,0.660664916039,2025,2027,2543,2033,2033,2924,3422,3422,3242,3363,3092,3052,3157,3149,3236,2855,3405,3414,3242,3364,3130,3352,3388,3191
1508405707217378603,124,1508405707217000346,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30498278141,1.32956695557,-0.00349689298309,0.0031759981066,0.0031759981066,-0.012554815039,-0.00767938327044,-99.8895874023,-99.8895874023,-138.998886108,-0.280592471361,2013,2058,2222,2034,2034,2913,3373,3389,3231,3331,3069,2894,3028,2950,3118,2736,3324,3347,3179,3267,2909,3259,3318,3047,0.010022877,1.240005707,1.242836748,0.680678427219,4500.0,0.654048621655,0.00682398909703,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.32963466644,0.0253340285271,-0.0142688630149,78.2419128418,0.349065840244,0.0216827709228,0.00841847155243,0.000792565464508,-0.00121786713134,-0.00121786713134,-0.00100250355899,-0.0162773765624,-0.19511012733,-0.19511012733,-1.17880630493,0.660664916039,2023,2025,2543,2033,2033,2924,3422,3422,3242,3363,3092,3052,3157,3146,3237,2855,3404,3412,3242,3365,3129,3350,3387,3191
1508405707227199184,125,1508405707226978491,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30498278141,1.32956695557,-0.00349689298309,0.0031759981066,0.0031759981066,-0.012554815039,-0.00767938327044,-99.8895874023,-99.8895874023,-138.998886108,-0.280592471361,2014,2056,2222,2034,2034,2912,3372,3386,3231,3331,3069,2894,3028,2950,3118,2736,3324,3347,3179,3267,2909,3259,3318,3048,0.009977264,1.249983802,1.247158,0.680678427219,4500.0,0.652699172497,-0.0205901935697,-0.027979247272,125.906616211,1.34390354156,6000.0,1.32969653606,0.0242682080716,-0.0142070390284,77.8966217041,0.349065840244,0.0216827709228,0.00841847155243,0.000792565464508,-0.00121786713134,-0.00121786713134,-0.00100250355899,-0.0162773765624,-0.19511012733,-0.19511012733,-1.17880630493,0.660664916039,2030,2024,2541,2039,2039,2924,3422,3424,3241,3363,3091,3052,3157,3146,3237,2855,3404,3412,3242,3365,3129,3350,3387,3190
1508405707237388193,126,1508405707236997773,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30498278141,1.32956695557,-0.00349689298309,0.0031759981066,0.0031759981066,-0.012554815039,-0.00767938327044,-99.8895874023,-99.8895874023,-138.998886108,-0.280592471361,2013,2056,2222,2034,2034,2912,3372,3386,3231,3331,3069,2894,3025,2947,3118,2736,3321,3349,3178,3265,2908,3259,3318,3048,0.010018917,1.260002903,1.262383542,0.680678427219,4500.0,0.654048621655,0.00630348501727,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.3297804594,0.022742183879,-0.0141230681911,77.8615570068,0.349065840244,0.0216827709228,0.00841847155243,0.000792565464508,-0.00121786713134,-0.00121786713134,-0.00100250355899,-0.0162773765624,-0.19511012733,-0.19511012733,-1.17880630493,0.660664916039,2029,2028,2541,2039,2039,2924,3422,3424,3241,3363,3091,3052,3155,3147,3236,2856,3403,3410,3240,3364,3129,3350,3387,3190
1508405707247478586,127,1508405707247035111,plot_matl,0.0,0.0,1.40129846432e-45,4.59163467805e-41,6.64634639741e-25,4.58729065281e-41,0.349065840244,0.30363330245,1.32980537415,-0.00350927235559,-0.0105041591451,-0.0105041591451,0.0222174189985,0.0024294173345,-99.9078292847,-99.9078292847,-139.071762085,-0.290549099445,2014,2053,2222,2034,2034,2913,3372,3388,3233,3331,3069,2894,3025,2947,3118,2736,3321,3349,3178,3265,2908,3260,3317,3047,0.010036687,1.270040126,1.274659249,0.680678427219,4500.0,0.654048621655,0.00517596444115,-0.0266297664493,119.833946228,1.34390354156,6000.0,1.3297804594,0.022742183879,-0.0141230681911,77.8615570068,0.349065840244,0.0216827709228,0.00845170579851,0.000803945411462,-0.00254677748308,-0.00254677748308,-0.00178530171979,0.00809846445918,-0.317176729441,-0.317176729441,-0.549004018307,0.293600559235,2023,2020,2542,2038,2038,2925,3423,3424,3239,3363,3091,3052,3155,3147,3236,2856,3403,3410,3240,3364,3129,3350,3385,3193
