%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508404252569620380,103,1508404252569075350,plot_matl,-0.300000011921,-2000.0,-0.243660718203,-0.0019042257918,0.0563392862678,112.234603882,0.349065840244,0.116055399179,-0.011450426653,-0.24366183579,-0.00167798763141,-0.00167798763141,0.00312952673994,0.00409907568246,-0.187557697296,-0.187557697296,-50.9947547913,-128.141403198,2027,2062,2132,2030,2030,2856,3366,3377,3198,3319,3045,2973,3077,3075,3176,2838,3370,3369,3197,3280,2928,3290,3317,3043,0.00996268,1.029983945,1.02615604,0.453785598278,4500.0,0.465121239424,-0.00258770561777,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114500243217,0.0031232482288,-0.0114500243217,67.7585906982,0.349065840244,0.0265011657029,-0.00522698415443,0.305068224669,-0.00265431567095,-0.00265431567095,-0.00182236859109,0.0228720176965,110.230003357,110.230003357,-0.214785590768,61.4655303955,2021,2020,2554,2032,2032,2935,3432,3433,3255,3374,3099,3059,3163,3157,3249,2888,3424,3430,3271,3382,3158,3363,3396,3203
1508404252579455138,104,1508404252579070583,plot_matl,-0.300000011921,-2000.0,-0.243672594428,0.00431337906048,0.056327406317,113.700553894,0.349065840244,0.116055399179,-0.0114347413182,-0.243652045727,-0.0016173889162,-0.0016173889162,0.00280343508348,0.00389623688534,-0.221432358027,-0.221432358027,-50.8204879761,-128.34262085,2017,2037,2132,2030,2030,2856,3362,3378,3198,3319,3045,2973,3077,3075,3176,2838,3370,3369,3197,3280,2929,3292,3321,3042,0.009993764,1.039978687,1.039351456,0.453785598278,4500.0,0.465121239424,-0.00309779052623,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114322574809,0.00276102311909,-0.0114322574809,67.8096618652,0.349065840244,0.0265011657029,-0.00521564017981,0.305104225874,-0.00307554216124,-0.00307554216124,-0.0020521231927,-0.039621155709,110.169036865,110.169036865,-0.150405243039,61.3692703247,2013,2018,2553,2030,2030,2936,3432,3433,3255,3374,3099,3059,3163,3157,3249,2888,3424,3430,3271,3382,3157,3363,3397,3203
1508404252589479830,105,1508404252589090096,plot_matl,-0.300000011921,-2000.0,-0.243658304214,-0.00195060484111,0.0563417002559,112.221488953,0.349065840244,0.117404878139,-0.0114444680512,-0.243660181761,0.0112862335518,0.0112862335518,0.00300386524759,-0.00191281130537,-0.201314717531,-0.201314717531,-50.7251205444,-128.178131104,2016,2043,2132,2030,2030,2856,3362,3378,3198,3316,3045,2973,3076,3076,3175,2841,3369,3371,3197,3280,2929,3292,3321,3042,0.01002013,1.049998611,1.05211365,0.453785598278,4500.0,0.465121239424,-0.0033649855759,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114568695426,-0.0101719805971,-0.0114568695426,71.7645339966,0.349065840244,0.0265011657029,-0.00523394998163,0.305301815271,-0.00256810267456,-0.00256810267456,-0.00168145110365,0.0182121116668,110.157562256,110.157562256,-0.400129407644,61.509727478,2018,2018,2553,2030,2030,2936,3432,3433,3254,3373,3101,3058,3162,3158,3247,2888,3423,3429,3271,3382,3157,3363,3397,3203
1508404252599531255,106,1508404252599069498,plot_matl,-0.300000011921,-2000.0,-0.243648543954,0.0038301339373,0.0563514642417,113.623542786,0.349065840244,0.116055399179,-0.0114512993023,-0.243644684553,-0.0024449150078,-0.0024449150078,0.00315824104473,0.0037625557743,-0.18125757575,-0.18125757575,-50.84375,-128.395217896,2012,2029,2132,2029,2029,2855,3362,3378,3198,3316,3045,2973,3076,3076,3175,2841,3369,3371,3195,3278,2928,3291,3318,3042,0.009979352,1.059978058,1.057811312,0.453785598278,4500.0,0.465121239424,-0.00414940249175,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114516746253,0.00315451715142,-0.0114516746253,67.7661361694,0.349065840244,0.0265011657029,-0.00524932472035,0.30523571372,-0.0021022350993,-0.0021022350993,-0.00137054780498,0.019480375573,110.132324219,110.132324219,-0.369715511799,61.5966720581,2016,2018,2554,2031,2031,2936,3432,3433,3254,3373,3101,3058,3162,3158,3247,2888,3423,3429,3269,3380,3158,3363,3398,3202
1508404252609433895,107,1508404252609077485,plot_matl,-0.300000011921,-2000.0,-0.243635237217,0.00356984324753,0.0563647598028,113.566703796,0.349065840244,0.116055399179,-0.011423134245,-0.243632793427,-0.00274540297687,-0.00274540297687,0.0025857987348,0.00352245592512,-0.148404017091,-0.148404017091,-50.6904029846,-128.433044434,2008,2036,2132,2029,2029,2855,3363,3377,3199,3319,3045,2973,3076,3073,3174,2838,3369,3371,3195,3278,2928,3291,3318,3042,0.01000699,1.069985945,1.07074793,0.453785598278,4500.0,0.465121239424,-0.00482189143077,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114338137209,0.00280284299515,-0.0114338137209,67.7857208252,0.349065840244,0.0265011657029,-0.00526293646544,0.30534940958,-0.00388581189327,-0.00388581189327,-0.00110966758803,-0.0446805469692,110.18270874,110.18270874,-0.336898446083,61.5691719055,2014,2017,2554,2031,2031,2936,3433,3432,3253,3372,3101,3058,3163,3157,3248,2888,3423,3429,3269,3380,3158,3363,3398,3202
1508404252619602820,108,1508404252619080556,plot_matl,-0.300000011921,-2000.0,-0.243629783392,0.00346233625896,0.0563702099025,113.551765442,0.349065840244,0.116055399179,-0.011423134245,-0.243632793427,-0.00274540297687,-0.00274540297687,0.0025857987348,0.00352245592512,-0.148404017091,-0.148404017091,-50.6904029846,-128.433044434,2018,2053,2132,2027,2027,2855,3363,3377,3199,3319,3045,2973,3076,3073,3174,2838,3369,3372,3196,3278,2928,3288,3318,3044,0.010003822,1.079989416,1.080412776,0.453785598278,4500.0,0.465121239424,-0.00540170352906,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114206122234,0.00253502954729,-0.0114206122234,67.7847366333,0.349065840244,0.0265011657029,-0.00526293646544,0.30534940958,-0.00388581189327,-0.00388581189327,-0.00110966758803,-0.0446805469692,110.18270874,110.18270874,-0.336898446083,61.5691719055,2018,2025,2553,2030,2030,2936,3433,3432,3253,3372,3101,3058,3163,3157,3248,2888,3424,3431,3272,3382,3159,3364,3398,3205
1508404252629529112,109,1508404252629069540,plot_matl,-0.300000011921,-2000.0,-0.243625983596,0.00338115170598,0.0563740171492,113.59703064,0.349065840244,0.116055399179,-0.011423134245,-0.243632793427,-0.00274540297687,-0.00274540297687,0.0025857987348,0.00352245592512,-0.148404017091,-0.148404017091,-50.6904029846,-128.433044434,2023,2055,2132,2027,2027,2857,3364,3376,3200,3319,3044,2972,3076,3074,3174,2838,3369,3372,3196,3278,2928,3288,3318,3044,0.009987601,1.089978045,1.088648509,0.453785598278,4500.0,0.465121239424,-0.00441396702081,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114240543917,-0.0108441105112,-0.0114240543917,71.9455566406,0.349065840244,0.0265011657029,-0.00526293646544,0.30534940958,-0.00388581189327,-0.00388581189327,-0.00110966758803,-0.0446805469692,110.18270874,110.18270874,-0.336898446083,61.5691719055,2022,2023,2553,2030,2030,2936,3432,3434,3252,3372,3100,3058,3164,3156,3248,2888,3424,3431,3272,3382,3159,3364,3398,3205
1508404252639624527,110,1508404252639120509,plot_matl,-0.300000011921,-2000.0,-0.243618130684,-0.00275185494684,0.0563818663359,112.107444763,0.349065840244,0.116055399179,-0.011423134245,-0.243632793427,-0.00274540297687,-0.00274540297687,0.0025857987348,0.00352245592512,-0.148404017091,-0.148404017091,-50.6904029846,-128.433044434,2009,2052,2132,2027,2027,2857,3364,3376,3200,3319,3044,2972,3076,3074,3178,2838,3369,3369,3198,3283,2930,3289,3316,3042,0.010051325,1.10002941,1.10564575,0.453785598278,4500.0,0.466470718384,0.0217013917863,0.0126851247624,-57.0830612183,0.0,6000.0,-0.0114244492725,0.00259043322876,-0.0114244492725,67.7732086182,0.349065840244,0.0265011657029,-0.00526293646544,0.30534940958,-0.00388581189327,-0.00388581189327,-0.00110966758803,-0.0446805469692,110.18270874,110.18270874,-0.336898446083,61.5691719055,2018,2019,2553,2030,2030,2936,3432,3434,3252,3372,3100,3058,3164,3156,3249,2887,3424,3432,3270,3382,3158,3361,3398,3203
1508404252649576266,111,1508404252649096418,plot_matl,-0.300000011921,-2000.0,-0.243616625667,0.00319439265877,0.0563833713531,113.534332275,0.349065840244,0.116055399179,-0.0114144599065,-0.243611454964,-0.00282003520988,-0.00282003520988,0.00238911970519,0.00309134274721,-0.0200254842639,-0.0200254842639,-50.8990058899,-128.46194458,2016,2058,2133,2030,2030,2858,3365,3374,3198,3319,3048,2973,3076,3074,3178,2838,3369,3369,3198,3283,2930,3289,3316,3042,0.009976155,1.110005365,1.107353205,0.453785598278,4500.0,0.465121239424,-0.00501069286838,0.0113356439397,-51.01039505,0.0,6000.0,-0.0114265391603,-0.0107839666307,-0.0114265391603,71.8012924194,0.349065840244,0.0265011657029,-0.00526809180155,0.305482983589,-0.00484699662775,-0.00484699662775,-0.00100998859853,0.014420828782,110.212020874,110.212020874,-0.423071235418,61.8469047546,2021,2030,2554,2032,2032,2935,3433,3433,3254,3374,3101,3059,3164,3156,3249,2887,3424,3432,3270,3382,3158,3361,3398,3203
1508404252659505705,112,1508404252659083143,plot_matl,-0.300000011921,-2000.0,-0.243625596166,-0.00260590109974,0.0563744083047,112.180747986,0.349065840244,0.116055399179,-0.0114144599065,-0.243611454964,-0.00282003520988,-0.00282003520988,0.00238911970519,0.00309134274721,-0.0200254842639,-0.0200254842639,-50.8990058899,-128.46194458,2029,2071,2133,2030,2030,2858,3365,3374,3198,3319,3048,2973,3075,3074,3176,2839,3369,3372,3198,3278,2927,3289,3316,3042,0.009984112,1.119990962,1.118220544,0.453785598278,4500.0,0.466470718384,0.0201421715319,0.0126851247624,-57.0830612183,0.0,6000.0,-0.0114155774936,0.00242088665254,-0.0114155774936,67.8340835571,0.349065840244,0.0265011657029,-0.00526809180155,0.305482983589,-0.00484699662775,-0.00484699662775,-0.00100998859853,0.014420828782,110.212020874,110.212020874,-0.423071235418,61.8469047546,2031,2035,2554,2032,2032,2935,3433,3433,3254,3374,3101,3059,3164,3155,3248,2888,3422,3430,3270,3384,3159,3365,3398,3203
