%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508403097641075249,93,1508403097640848879,plot_matl,-0.349065840244,-5000.0,-0.337453424931,0.00447047641501,0.0116124143824,59.1788444519,0.349065840244,0.0701730325818,-0.00945536419749,-0.337456285954,-0.00972389988601,-0.00972389988601,0.00304114748724,-0.00144510541577,23.1107959747,23.1107959747,-0.123036645353,-143.078109741,2022,2064,2111,2021,2021,2812,3353,3369,3191,3316,3041,2976,3071,3079,3175,2865,3371,3367,3194,3273,2914,3288,3313,3037,0.009958932,0.929973879,0.926180676,0.401425719261,4500.0,0.420588374138,0.00756334606558,0.0191626362503,-86.2318572998,0.0,6000.0,-0.0094613917172,0.00316107203253,-0.0094613917172,55.7617301941,0.349065840244,0.0313195586205,-0.0340678580105,0.300820916891,0.0311167538166,0.0311167538166,-0.00225579249673,-0.0150586748496,161.329574585,161.329574585,-258.149902344,-78.8049545288,2027,2038,2642,2037,2037,3052,3444,3444,3294,3379,3123,3001,3146,3097,3222,2743,3387,3402,3233,3357,3127,3344,3385,3195
1508403097651037680,94,1508403097650851688,plot_matl,-0.349065840244,-5000.0,-0.337461411953,-0.00134456739761,0.0116044394672,57.727558136,0.349065840244,0.0715225115418,-0.00944013614208,-0.337452083826,0.00322324247099,0.00322324247099,0.00272698723711,0.00444364501163,23.0568599701,23.0568599701,0.00276590907015,-142.051651001,2020,2058,2110,2023,2023,2807,3352,3365,3188,3314,3041,2976,3071,3079,3175,2865,3371,3367,3194,3273,2914,3288,3314,3038,0.010002891,0.939976687,0.940271754,0.401425719261,4500.0,0.420588374138,0.00672098295763,0.0191626362503,-86.2318572998,0.0,6000.0,-0.00944599602371,0.00284310523421,-0.00944599602371,55.8933067322,0.349065840244,0.0289103612304,-0.0340633019805,0.300854891539,0.00683599896729,0.00683599896729,-0.00236501032487,0.0461241602898,161.345489502,161.345489502,-257.939239502,-78.79737854,2024,2034,2642,2032,2032,3052,3442,3440,3291,3378,3123,3001,3146,3097,3222,2743,3387,3402,3233,3357,3127,3344,3387,3196
1508403097661135429,95,1508403097660848821,plot_matl,-0.349065840244,-5000.0,-0.337452679873,-0.00151975743938,0.0116131734103,57.7006530762,0.349065840244,0.0701730325818,-0.00942703988403,-0.3374556005,-0.00970738753676,-0.00970738753676,0.00246348837391,-0.00146125070751,22.9737548828,22.9737548828,0.0306463837624,-142.404800415,2017,2066,2110,2023,2023,2807,3352,3365,3188,3314,3042,2978,3071,3081,3173,2864,3369,3366,3192,3271,2914,3288,3314,3038,0.010007716,0.949982962,0.95073302,0.401425719261,4500.0,0.420588374138,0.00706645520404,0.0191626362503,-86.2318572998,0.0,6000.0,-0.0094320261851,0.00256212358363,-0.0094320261851,55.8167800903,0.349065840244,0.0289103612304,-0.0340698435903,0.30087864399,0.00597734330222,0.00597734330222,-0.00223171431571,-0.0161845199764,161.240020752,161.240020752,-258.022613525,-78.6018676758,2021,2027,2642,2032,2032,3052,3442,3440,3291,3378,3121,3000,3143,3095,3223,2741,3384,3400,3232,3358,3127,3344,3387,3196
1508403097671310165,96,1508403097670915474,plot_matl,-0.349065840244,-5000.0,-0.337450385094,-0.00157230952755,0.0116154691204,57.6888465881,0.349065840244,0.0715225115418,-0.00946547929198,-0.337453335524,0.00394005374983,0.00394005374983,-0.0101751815528,-0.0015132293338,22.8007793427,22.8007793427,-0.0857075676322,-142.609909058,2020,2041,2111,2019,2019,2810,3354,3369,3188,3314,3042,2978,3071,3081,3173,2864,3369,3366,3192,3271,2914,3284,3312,3036,0.010056782,0.960041169,0.965451072,0.401425719261,4500.0,0.420588374138,0.0076610497199,0.0191626362503,-86.2318572998,0.0,6000.0,-0.00945821404457,0.00309897749685,-0.00945821404457,55.7866706848,0.349065840244,0.0289103612304,-0.0340477637947,0.300889909267,0.00622154446319,0.00622154446319,-0.0026696450077,-0.0165167376399,161.120498657,161.120498657,-257.988311768,-78.6728668213,2019,2018,2642,2036,2036,3053,3443,3439,3291,3378,3121,3000,3143,3095,3223,2741,3384,3400,3232,3358,3126,3344,3386,3194
1508403097681356760,97,1508403097680897589,plot_matl,-0.349065840244,-5000.0,-0.337459504604,-0.00139312422834,0.011606358923,57.6685562134,0.349065840244,0.0715225115418,-0.00948348361999,-0.337456315756,0.00395903689787,0.00395903689787,0.00363722583279,0.00451795430854,22.772644043,22.772644043,-0.113805152476,-142.916732788,2010,2045,2111,2019,2019,2810,3354,3369,3189,3314,3043,2976,3071,3079,3174,2863,3369,3363,3192,3271,2914,3284,3312,3036,0.009982152,0.970023451,0.968268744,0.401425719261,4500.0,0.420588374138,0.00769706768915,0.0191626362503,-86.2318572998,0.0,6000.0,-0.00947791151702,0.00351803703234,-0.00947791151702,55.7205581665,0.349065840244,0.0289103612304,-0.0340447202325,0.300852298737,0.00553630664945,0.00553630664945,-0.00273977615871,0.0460877008736,161.135314941,161.135314941,-257.921417236,-78.802444458,2012,2018,2642,2036,2036,3053,3443,3439,3292,3378,3121,2999,3144,3093,3223,2739,3382,3400,3232,3358,3126,3344,3386,3194
1508403097691221442,98,1508403097690865209,plot_matl,-0.349065840244,-5000.0,-0.337461858988,-0.00134958676063,0.0116039998829,57.6961402893,0.349065840244,0.0715225115418,-0.00946368277073,-0.337458699942,0.00327316951007,0.00327316951007,-0.0101806716993,0.00456146011129,22.8515281677,22.8515281677,-0.318681061268,-143.000793457,2009,2040,2110,2022,2022,2812,3354,3369,3189,3314,3043,2976,3071,3079,3174,2863,3369,3363,3190,3272,2913,3284,3314,3039,0.009966768,0.97999055,0.976743264,0.401425719261,4500.0,0.419238895178,-0.0204501412809,0.0178131535649,-80.1591949463,0.0,6000.0,-0.00945672113448,0.00309932767414,-0.00945672113448,55.809677124,0.349065840244,0.0313195586205,-0.0340416803956,0.300989598036,0.0297232698649,0.0297232698649,-0.00279727578163,0.0433042570949,161.034851074,161.034851074,-258.069763184,-78.6893310547,2005,2009,2642,2039,2039,3054,3443,3439,3292,3378,3121,2999,3144,3093,3223,2739,3382,3400,3231,3358,3126,3344,3385,3197
1508403097701288152,99,1508403097700869453,plot_matl,-0.349065840244,-5000.0,-0.33746317029,0.004649002105,0.0116026932374,59.1523704529,0.349065840244,0.0715225115418,-0.00947097595781,-0.337465643883,0.00316716963425,0.00316716963425,-0.0100211938843,-0.00127491983585,22.9545459747,22.9545459747,-0.262064754963,-143.079666138,1999,2041,2110,2022,2022,2812,3355,3369,3189,3315,3042,2976,3069,3080,3173,2862,3369,3363,3190,3272,2913,3284,3314,3039,0.010003753,0.989995014,0.990371547,0.401425719261,4500.0,0.420588374138,0.00658440962434,0.0191626362503,-86.2318572998,0.0,6000.0,-0.00946443807334,-0.0101544959471,-0.00946443807334,59.8965759277,0.349065840244,0.0265011657029,-0.0339984223247,0.300879269838,-0.0194949060678,-0.0194949060678,0.0116429710761,-0.0163684543222,161.209594727,161.209594727,-258.137756348,-78.6682357788,2001,2009,2642,2039,2039,3054,3440,3440,3293,3378,3122,2998,3142,3093,3222,2737,3382,3400,3231,3358,3126,3344,3385,3197
1508403097711197851,100,1508403097710867428,plot_matl,-0.349065840244,-5000.0,-0.337463736534,-0.00131438160315,0.0116021111608,57.7031211853,0.349065840244,0.0715225115418,-0.00947509519756,-0.337460368872,0.00281548174098,0.00281548174098,0.00349868275225,0.00459358515218,23.0309638977,23.0309638977,-0.383004933596,-143.224746704,1990,2043,2111,2027,2027,2812,3355,3369,3189,3315,3042,2976,3069,3080,3173,2862,3369,3366,3191,3271,2913,3289,3314,3038,0.009997684,0.999992843,0.9997684,0.401425719261,4500.0,0.421937853098,0.0331041179597,0.0205121170729,-92.3045272827,0.0,6000.0,-0.00946917477995,0.00337334838696,-0.00946917477995,55.8325805664,0.349065840244,0.0265011657029,-0.034031573683,0.300852835178,-0.0181423109025,-0.0181423109025,-0.00303192809224,0.0461735129356,161.02684021,161.02684021,-258.286315918,-78.7818603516,2006,2012,2643,2037,2037,3054,3440,3440,3293,3378,3122,2998,3142,3093,3222,2737,3383,3401,3233,3359,3125,3344,3385,3195
1508403097721240744,101,1508403097720879118,plot_matl,-0.349065840244,-5000.0,-0.337460458279,-0.00139117974322,0.01160540618,57.731842041,0.349065840244,0.0715225115418,-0.00946908444166,-0.337463140488,0.00283958320506,0.00283958320506,0.00336859072559,-0.00133666023612,23.0674343109,23.0674343109,-0.502905845642,-143.210327148,2004,2029,2111,2027,2027,2811,3355,3368,3190,3313,3043,2975,3071,3081,3173,2862,3369,3366,3191,3271,2913,3289,3314,3038,0.010012712,1.010005812,1.011283912,0.401425719261,4500.0,0.419238895178,-0.0219073239714,0.0178131535649,-80.1591949463,0.0,6000.0,-0.00947587843984,0.00350598827936,-0.00947587843984,55.9212112427,0.349065840244,0.0265011657029,-0.0340165048838,0.300813168287,-0.0170825216919,-0.0170825216919,0.0120221618563,-0.0150264026597,161.029953003,161.029953003,-258.369506836,-78.7636184692,2018,2010,2643,2037,2037,3054,3440,3441,3292,3379,3123,2999,3143,3092,3222,2737,3383,3401,3233,3359,3125,3344,3385,3195
1508403097731240341,102,1508403097730869996,plot_matl,-0.349065840244,-5000.0,-0.337462186813,-0.00135623535607,0.0116036655381,57.7166404724,0.349065840244,0.0728719979525,-0.009476990439,-0.337464869022,0.0161579661071,0.0161579661071,-0.00990124791861,-0.0013014706783,23.0219402313,23.0219402313,-0.384441137314,-143.130874634,2010,2045,2111,2027,2027,2811,3355,3368,3190,3313,3043,2975,3071,3081,3172,2863,3368,3365,3194,3271,2914,3285,3316,3038,0.009989169,1.019995697,1.018895238,0.401425719261,4500.0,0.419238895178,-0.0214162897319,0.0178131535649,-80.1591949463,0.0,6000.0,-0.0094698369503,0.00338515732437,-0.0094698369503,55.8736381531,0.349065840244,0.0289103612304,-0.0340464599431,0.300777643919,0.00548743503168,0.00548743503168,-0.00271638669074,-0.0144956056029,161.131454468,161.131454468,-258.126342773,-78.77368927,2017,2016,2643,2037,2037,3054,3440,3441,3292,3379,3123,2999,3143,3092,3222,2738,3386,3401,3232,3358,3126,3344,3386,3196
