%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508403300833665457,103,1508403300833123895,plot_matl,0.25,-1000.0,0.197138592601,0.0362085662782,-0.0528613999486,-44.0616950989,0.349065840244,0.0242906641215,-0.0115901790559,0.197133690119,-0.00701049901545,-0.00701049901545,0.005946574267,-0.00156637898181,-78.5568771362,-78.5568771362,0.681536912918,109.683761597,2009,2061,2143,2026,2026,2611,3288,3319,3119,3275,2981,2954,3028,3080,3154,2995,3396,3387,3242,3287,2952,3269,3300,3020,0.00999494,1.030065265,1.02947882,0.401425719261,4500.0,0.37470600009,0.0134563501924,-0.02671973221,120.238792419,0.0,6000.0,-0.0115944817662,-0.00738499080762,-0.0115944817662,71.813583374,0.349065840244,0.0240919683129,-0.0282759126276,0.307389289141,-0.0044565028511,-0.0044565028511,0.00350894569419,-0.0242006666958,154.239471436,154.239471436,-230.451202393,-67.2516784668,2009,2022,2635,2032,2032,3068,3444,3443,3297,3380,3127,3009,3149,3094,3221,2695,3375,3395,3221,3354,3120,3344,3386,3193
1508403300843333480,104,1508403300843089783,plot_matl,0.25,-1000.0,0.197123274207,-0.00136367522646,-0.0528767183423,-53.216381073,0.349065840244,0.0256401468068,-0.0116236777976,0.197050228715,0.00593847129494,0.00593847129494,-0.00682552577928,-0.0377103500068,-78.6165084839,-78.6165084839,0.725762665272,109.569320679,2037,2083,2143,2026,2026,2611,3288,3319,3119,3275,2982,2952,3030,3082,3154,2993,3396,3390,3245,3286,2952,3269,3300,3020,0.009963376,1.040030366,1.036191104,0.401425719261,4500.0,0.37470600009,0.0120515814051,-0.02671973221,120.238792419,0.0,6000.0,-0.0116025861353,-0.00725309271365,-0.0116025861353,71.7863311768,0.349065840244,0.0265011657029,-0.0282896645367,0.307455092669,0.0188913550228,0.0188913550228,-0.0116070769727,-0.025367256254,154.353897095,154.353897095,-230.523452759,-67.2786712646,2038,2047,2635,2032,2032,3068,3444,3443,3297,3380,3127,3008,3148,3093,3222,2695,3376,3396,3220,3354,3120,3344,3386,3193
1508403300853434021,105,1508403300853085085,plot_matl,0.25,-1000.0,0.197050631046,0.000159219765919,-0.0529493652284,-52.9358978271,0.349065840244,0.0269896276295,-0.0115865161642,0.197050794959,0.0191798657179,0.0191798657179,0.00584679236636,0.000149828119902,-78.6189041138,-78.6189041138,0.706168174744,109.53780365,2012,2038,2143,2029,2029,2608,3287,3319,3119,3275,2982,2952,3030,3082,3154,2993,3396,3390,3245,3286,2954,3268,3300,3021,0.0099961,1.050026325,1.0495905,0.401425719261,4500.0,0.37605547905,0.0385318547487,-0.0253702495247,114.166122437,0.0,6000.0,-0.0116047319025,0.00621328642592,-0.0116047319025,67.6789550781,0.349065840244,0.0240919683129,-0.0283237025142,0.307352632284,-0.0067051788792,-0.0067051788792,0.00446426030248,0.0386702530086,154.382003784,154.382003784,-230.628753662,-67.238319397,2024,2015,2635,2032,2032,3068,3444,3443,3297,3380,3127,3008,3148,3093,3222,2695,3376,3396,3220,3354,3119,3345,3385,3194
1508403300863409889,106,1508403300863056288,plot_matl,0.25,-1000.0,0.197054848075,0.0379761494696,-0.0529451556504,-43.8062858582,0.349065840244,0.0256401468068,-0.0115799522027,0.197054758668,0.00577756110579,0.00577756110579,0.0057494645007,5.13037666678e-05,-78.5569992065,-78.5569992065,0.655681669712,109.591026306,1939,1963,2143,2029,2029,2608,3287,3319,3117,3275,2982,2954,3029,3082,3155,2998,3397,3390,3245,3286,2954,3268,3300,3021,0.009970257,1.059997148,1.056847242,0.401425719261,4500.0,0.37470600009,0.011715057306,-0.02671973221,120.238792419,0.0,6000.0,-0.0115975029767,-0.00732185086235,-0.0115975029767,71.7956771851,0.349065840244,0.0240919683129,-0.028337650001,0.307585179806,-0.0071848584339,-0.0071848584339,-0.0105704991147,0.0339658483863,154.382980347,154.382980347,-230.547454834,-67.0562438965,1968,1964,2635,2032,2032,3068,3444,3443,3298,3380,3126,3008,3149,3093,3222,2700,3374,3396,3220,3354,3119,3345,3385,3194
1508403300873376502,107,1508403300873062722,plot_matl,0.25,-1000.0,0.197054564953,4.45442055934e-05,-0.0529454387724,-52.9513473511,0.349065840244,0.0242906641215,-0.0115890428424,0.197054490447,-0.00767400162295,-0.00767400162295,0.00592852476984,4.19997741119e-05,-78.5472869873,-78.5472869873,0.712134063244,109.611618042,1959,1978,2144,2030,2030,2605,3287,3319,3117,3275,2982,2954,3029,3082,3155,2998,3397,3390,3247,3288,2956,3268,3299,3021,0.010005983,1.070003531,1.070640181,0.401425719261,4500.0,0.37335652113,-0.0151862902567,-0.0280692130327,126.311454773,0.0,6000.0,-0.0115805985406,-0.0076657216996,-0.0115805985406,71.7107925415,0.349065840244,0.0240919683129,-0.0283221211284,0.307503372431,-0.0067516262643,-0.0067516262643,0.00445538619533,0.0355843640864,154.330047607,154.330047607,-230.857666016,-67.1831359863,1977,1977,2637,2036,2036,3067,3444,3443,3298,3380,3126,3008,3149,3093,3222,2700,3374,3396,3222,3356,3121,3344,3387,3195
1508403300883253095,108,1508403300883041554,plot_matl,0.25,-1000.0,0.196980774403,-0.0364340059459,-0.0530192218721,-62.0671195984,0.349065840244,0.0256401468068,-0.0115712592378,0.196984961629,0.00609532883391,0.00609532883391,0.00556467287242,0.00139689364005,-78.5571975708,-78.5571975708,0.759128928185,109.357673645,1992,2033,2144,2030,2030,2605,3287,3320,3115,3274,2982,2953,3029,3081,3153,2999,3397,3390,3247,3288,2956,3268,3299,3021,0.009977522,1.07998167,1.077572376,0.401425719261,4500.0,0.37470600009,0.0123868677765,-0.02671973221,120.238792419,0.0,6000.0,-0.0115881161764,0.00590533902869,-0.0115881161764,67.6969528198,0.349065840244,0.0240919683129,-0.0283254832029,0.307495564222,-0.00599209498614,-0.00599209498614,-0.0108300689608,0.0356938205659,154.305053711,154.305053711,-231.140411377,-67.3648452759,2005,2005,2637,2036,2036,3067,3444,3442,3298,3379,3128,3008,3148,3093,3224,2702,3374,3396,3222,3356,3121,3344,3387,3195
1508403300893242722,109,1508403300893037590,plot_matl,0.25,-1000.0,0.196993604302,0.00118749402463,-0.0530063956976,-52.7178192139,0.349065840244,0.0256401468068,-0.0115580726415,0.197033405304,0.00644682114944,0.00644682114944,0.00527915824205,0.0382880717516,-78.5977478027,-78.5977478027,0.62201744318,109.334495544,2004,2055,2144,2030,2030,2605,3287,3320,3115,3274,2982,2953,3029,3081,3153,2999,3399,3389,3245,3288,2957,3266,3300,3022,0.009995764,1.089977907,1.089538276,0.401425719261,4500.0,0.37335652113,-0.0141213024035,-0.0280692130327,126.311454773,0.0,6000.0,-0.0115601727739,0.0053266743198,-0.0115601727739,67.7642593384,0.349065840244,0.0265011657029,-0.0282855145633,0.307483762503,0.0176769606769,0.0176769606769,0.00370198441669,0.0359629094601,154.265563965,154.265563965,-230.867034912,-67.1335067749,2011,2018,2637,2035,2035,3067,3444,3442,3298,3379,3128,3008,3148,3093,3224,2702,3376,3396,3224,3357,3121,3344,3387,3195
1508403300903557951,110,1508403300903132501,plot_matl,0.25,-1000.0,0.197036013007,0.000327448913595,-0.0529639907181,-52.8801460266,0.349065840244,0.0269896276295,-0.0115481372923,0.197037011385,0.0201092045754,0.0201092045754,-0.00833695195615,0.000308341433993,-78.5756072998,-78.5756072998,0.580507397652,109.207191467,2009,2050,2144,2030,2030,2606,3287,3320,3117,3275,2983,2954,3029,3081,3153,2999,3399,3389,3245,3288,2957,3266,3300,3022,0.010097724,1.100073657,1.11074964,0.401425719261,4500.0,0.37335652113,-0.0134865986183,-0.0280692130327,126.311454773,0.0,6000.0,-0.0115363691002,0.00484481547028,-0.0115363691002,67.7610549927,0.349065840244,0.0265011657029,-0.028281679377,0.307410776615,0.0179659128189,0.0179659128189,-0.0117282299325,-0.0244479626417,154.312011719,154.312011719,-230.714508057,-67.0709228516,2021,2025,2637,2035,2035,3066,3445,3442,3297,3381,3128,3006,3148,3093,3224,2702,3376,3396,3224,3357,3121,3344,3387,3195
1508403300913495268,111,1508403300913083459,plot_matl,0.25,-1000.0,0.197074383497,0.037448450923,-0.0529256090522,-44.4017181396,0.349065840244,0.0256401468068,-0.0115399574861,0.197073161602,0.00532139185816,0.00532139185816,-0.00849921535701,-0.000437747279648,-78.5593414307,-78.5593414307,0.509028434753,109.252326965,1993,2021,2144,2030,2030,2606,3287,3320,3117,3275,2983,2954,3029,3081,3156,2995,3399,3390,3247,3289,2957,3267,3300,3023,0.009948827,1.110024304,1.104319797,0.401425719261,4500.0,0.37605547905,0.0385648831725,-0.0253702495247,114.166122437,0.0,6000.0,-0.0115273743868,0.00466917688027,-0.0115273743868,67.8351974487,0.349065840244,0.0240919683129,-0.0282892454416,0.307364284992,-0.0065942145884,-0.0065942145884,0.00377974612638,0.0383112505078,154.32963562,154.32963562,-230.262359619,-66.9962768555,2010,2006,2637,2035,2035,3066,3445,3442,3297,3381,3128,3006,3148,3093,3222,2700,3375,3397,3224,3355,3122,3345,3385,3194
1508403300923244087,112,1508403300923057570,plot_matl,0.25,-1000.0,0.19707429409,-0.00046945901704,-0.0529256984591,-53.0337715149,0.349065840244,0.0242906641215,-0.0115077514201,0.197073116899,-0.00828799419105,-0.00828799419105,0.00427249073982,-0.000442864489742,-78.5669403076,-78.5669403076,0.235983207822,109.351509094,2018,2060,2145,2030,2030,2608,3287,3321,3117,3273,2983,2954,3029,3081,3156,2995,3399,3390,3247,3289,2957,3267,3300,3023,0.00997238,1.119997775,1.11690656,0.401425719261,4500.0,0.37470600009,0.0102277956903,-0.02671973221,120.238792419,0.0,6000.0,-0.0115204732865,0.0045290584676,-0.0115204732865,67.678062439,0.349065840244,0.0240919683129,-0.0283108241856,0.30726146698,-0.00623587472364,-0.00623587472364,0.00417554192245,-0.0215340852737,154.270004272,154.270004272,-230.013748169,-66.7837295532,2020,2026,2638,2038,2038,3066,3444,3444,3298,3379,3127,3007,3148,3093,3222,2700,3375,3397,3224,3355,3122,3345,3385,3194
