%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508405304472605120,93,1508405304472038956,plot_matl,0.25,-500.0,0.0293006822467,0.0131028760225,-0.220699325204,-107.194664001,0.349065840244,0.0445328839123,-0.0102354856208,0.0292830113322,-0.00827617850155,-0.00827617850155,0.00543296523392,0.0134928431362,-1.18023979664,-1.18023979664,-1.10539495945,95.2510299683,2014,2048,2131,2020,2020,2598,3277,3308,3104,3259,2967,2941,3017,3069,3143,2968,3380,3373,3222,3270,2926,3256,3283,3002,0.009943156,0.930029196,0.924713508,0.401425719261,4500.0,0.394948214293,0.0101042855531,-0.00647751055658,29.1487979889,0.0,6000.0,-0.0102317398414,0.00536675425246,-0.0102317398414,59.7809944153,0.349065840244,0.0240919683129,0.00365652958862,0.292764097452,-0.0126042691991,-0.0126042691991,0.0028339526616,0.0240240246058,147.039108276,147.039108276,-0.206682547927,-2.44900846481,2030,2031,2568,2043,2043,2889,3395,3394,3203,3327,3041,3018,3122,3113,3205,2814,3379,3383,3212,3330,3089,3321,3351,3149
1508405304482308476,94,1508405304482068880,plot_matl,0.25,-500.0,0.0293050240725,-0.00785171985626,-0.220694974065,-112.184753418,0.349065840244,0.0445328839123,-0.0101973572746,0.0293081514537,-0.00822986103594,-0.00822986103594,0.00466981949285,-0.00791058503091,-1.11179053783,-1.11179053783,-1.12205553055,95.2650604248,2049,2070,2131,2021,2021,2598,3277,3308,3104,3259,2967,2941,3017,3069,3143,2968,3380,3372,3222,3269,2928,3255,3284,3001,0.010028728,0.940058807,0.942700432,0.401425719261,4500.0,0.393598735332,-0.0165552385151,-0.00782699231058,35.2214622498,0.0,6000.0,-0.010183933191,0.00439770054072,-0.010183933191,59.8205375671,0.349065840244,0.0289103612304,0.00365300779231,0.292751669884,0.0360354743898,0.0360354743898,0.00289403344505,-0.0376144349575,147.017089844,147.017089844,-0.263252019882,-2.0567381382,2026,2018,2567,2039,2039,2889,3395,3394,3203,3327,3041,3018,3122,3113,3205,2814,3379,3384,3212,3331,3089,3319,3349,3150
1508405304492338068,95,1508405304492068045,plot_matl,0.25,-500.0,0.0292874742299,-0.00749405147508,-0.220712527633,-112.179321289,0.349065840244,0.0445328839123,-0.0101678520441,0.0293105524033,-0.00794811174273,-0.00794811174273,0.0040791076608,-0.00796049740165,-1.09146618843,-1.09146618843,-1.14349329472,95.1865539551,2019,2025,2131,2021,2021,2596,3278,3305,3102,3261,2967,2943,3020,3069,3141,2968,3380,3372,3222,3269,2928,3255,3284,3001,0.010000441,0.950058766,0.950041895,0.401425719261,4500.0,0.393598735332,-0.0165511108935,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101560819894,0.00384009233676,-0.0101560819894,59.774269104,0.349065840244,0.0240919683129,0.0036659585312,0.292695790529,-0.0116593400016,-0.0116593400016,0.00263747037388,-0.0364419557154,146.997421265,146.997421265,-0.224178686738,-1.48467981815,2025,2021,2567,2039,2039,2891,3396,3393,3203,3326,3041,3019,3124,3114,3203,2814,3379,3384,3212,3331,3089,3319,3349,3150
1508405304502355438,96,1508405304502042967,plot_matl,0.25,-500.0,0.0293329618871,0.0124502405524,-0.220667034388,-107.344146729,0.349065840244,0.0445328839123,-0.01014275942,0.0293166823685,-0.00867160409689,-0.00867160409689,0.00359116867185,-0.00806755106896,-1.0748411417,-1.0748411417,-1.29917263985,95.180267334,2022,2052,2131,2021,2021,2596,3278,3305,3102,3261,2967,2943,3020,3069,3141,2969,3382,3373,3223,3269,2927,3255,3282,3002,0.009974331,0.960033383,0.957535776,0.401425719261,4500.0,0.394948214293,0.00985349807888,-0.00647751055658,29.1487979889,0.0,6000.0,-0.0101454174146,0.00363296200521,-0.0101454174146,59.7909317017,0.349065840244,0.0240919683129,0.00366139691323,0.292650282383,-0.0104494523257,-0.0104494523257,0.00270475749858,0.0262873414904,147.105728149,147.105728149,-0.0607931911945,-1.56045734882,2030,2033,2567,2039,2039,2891,3396,3393,3203,3326,3041,3019,3124,3114,3203,2815,3378,3385,3213,3331,3091,3320,3351,3150
1508405304512251751,97,1508405304512025057,plot_matl,0.25,-500.0,0.0293141417205,-0.00802507717162,-0.220685854554,-112.194114685,0.349065840244,0.0445328839123,-0.0101220747456,0.029317015782,-0.00782357528806,-0.00782357528806,0.00315771508031,-0.00809506792575,-1.01003968716,-1.01003968716,-1.13452208042,95.2618179321,2043,2080,2131,2022,2022,2596,3279,3308,3104,3262,2967,2940,3019,3069,3141,2969,3382,3373,3223,3269,2927,3255,3282,3002,0.009980476,0.970014914,0.968106172,0.401425719261,4500.0,0.393598735332,-0.0152609553188,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101390406489,0.00349173368886,-0.0101390406489,59.8324890137,0.349065840244,0.0240919683129,0.00364394695498,0.292769879103,-0.0110934209079,-0.0110934209079,0.00306013552472,-0.0379631631076,146.900634766,146.900634766,-0.107974216342,-1.13485014439,2022,2023,2567,2041,2041,2890,3396,3393,3203,3326,3041,3019,3122,3114,3203,2815,3378,3385,3213,3331,3091,3320,3351,3150
1508405304522398777,98,1508405304522066315,plot_matl,0.25,-500.0,0.0292632840574,0.0138634508476,-0.220736712217,-107.041107178,0.349065840244,0.0458823665977,-0.0101651828736,0.0292629562318,0.0064733158797,0.0064733158797,-0.00939841009676,-0.00699255382642,-1.17426979542,-1.17426979542,-1.15048837662,95.219078064,2026,2058,2131,2022,2022,2596,3279,3308,3104,3262,2967,2940,3019,3069,3141,2967,3383,3374,3224,3271,2928,3256,3283,3002,0.010041367,0.98005669,0.984053966,0.401425719261,4500.0,0.394948214293,0.0132401073352,-0.00647751055658,29.1487979889,0.0,6000.0,-0.0101662408561,0.00404471391812,-0.0101662408561,59.7896537781,0.349065840244,0.0240919683129,0.00363144907169,0.292537271976,-0.0117579260841,-0.0117579260841,0.00332282250747,-0.0332880690694,146.663299561,146.663299561,-0.193424090743,-1.21348810196,2025,2027,2567,2041,2041,2890,3396,3393,3203,3326,3041,3019,3122,3112,3206,2815,3377,3385,3214,3331,3090,3320,3351,3150
1508405304532534168,99,1508405304532039872,plot_matl,0.25,-500.0,0.0292390659451,-0.00650701019913,-0.220760941505,-111.928993225,0.349065840244,0.0458823665977,-0.0101531827822,0.0292377024889,0.0060194125399,0.0060194125399,-0.00964259169996,-0.006485207472,-1.12928628922,-1.12928628922,-1.26808905602,95.1001968384,2023,2059,2130,2023,2023,2598,3279,3308,3105,3259,2968,2940,3019,3069,3141,2967,3383,3374,3224,3271,2928,3256,3283,3001,0.009973737,0.990030092,0.987399963,0.401425719261,4500.0,0.393598735332,-0.0148634258658,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101551637053,-0.00959601160139,-0.0101551637053,63.7908287048,0.349065840244,0.0265011657029,0.00363427586854,0.292521864176,0.0128899030387,0.0128899030387,-0.0120686814189,-0.0329667553306,146.759384155,146.759384155,-0.382662534714,-1.53446888924,2025,2027,2566,2040,2040,2890,3397,3393,3205,3325,3042,3019,3122,3112,3206,2815,3377,3385,3214,3331,3090,3320,3351,3150
1508405304542492461,100,1508405304542040377,plot_matl,0.25,-500.0,0.0292520485818,-0.0068033398129,-0.220747947693,-111.991523743,0.349065840244,0.0458823665977,-0.0101430881768,0.0292524751276,0.00615212647244,0.00615212647244,0.00356523389928,-0.00679862918332,-1.1231200695,-1.1231200695,-1.48253631592,94.9402313232,2023,2059,2130,2023,2023,2598,3279,3308,3105,3259,2968,2940,3019,3069,3141,2967,3383,3374,3224,3271,2928,3256,3283,3001,0.009999493,1.000030597,0.9999493,0.401425719261,4500.0,0.393598735332,-0.0148634258658,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101594366133,-0.00953569449484,-0.0101594366133,63.802520752,0.349065840244,0.0240919683129,0.00363716413267,0.292448967695,-0.0133793046698,-0.0133793046698,0.00323977414519,0.0304393135011,146.871200562,146.871200562,-0.307362407446,-1.32964289188,2025,2027,2566,2040,2040,2890,3397,3393,3205,3325,3042,3019,3122,3112,3206,2815,3377,3385,3214,3331,3090,3320,3351,3150
1508405304552414527,101,1508405304552044520,plot_matl,0.25,-500.0,0.029264383018,-0.00705440575257,-0.220735624433,-112.058647156,0.349065840244,0.0458823665977,-0.0101833650842,0.0292652081698,0.00605594646186,0.00605594646186,-0.00905163958669,-0.00707004172727,-1.01914680004,-1.01914680004,-1.57609200478,94.6954727173,2004,2054,2131,2023,2023,2598,3279,3309,3103,3259,2968,2943,3017,3068,3143,2966,3382,3371,3220,3268,2928,3255,3284,3002,0.01000481,1.010035231,1.01048581,0.401425719261,4500.0,0.393598735332,-0.0142654851079,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101832905784,0.00437043467537,-0.0101832905784,59.7848167419,0.349065840244,0.0265011657029,0.00366621813737,0.292447030544,0.0102933542803,0.0102933542803,0.0026540341787,0.030470771715,146.936447144,146.936447144,-0.322056859732,-1.1417735815,2022,2034,2567,2039,2039,2890,3396,3394,3203,3325,3042,3019,3124,3115,3206,2812,3378,3383,3211,3331,3091,3321,3350,3151
1508405304562436353,102,1508405304562034767,plot_matl,0.25,-500.0,0.0292949862778,-0.00767413293943,-0.220705017447,-112.228843689,0.349065840244,0.0445328839123,-0.0101931886747,0.0292764678597,-0.00696001388133,-0.00696001388133,-0.00885283388197,-0.00729645928368,-0.900425255299,-0.900425255299,-1.64797174931,94.7537231445,2001,2049,2131,2023,2023,2598,3279,3309,3103,3263,2967,2943,3019,3068,3143,2967,3382,3374,3223,3268,2928,3255,3284,3002,0.009989525,1.020025037,1.01893155,0.401425719261,4500.0,0.393598735332,-0.013104445301,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101925348863,0.00455687241629,-0.0101925348863,59.7567596436,0.349065840244,0.0265011657029,0.00364776188508,0.292381554842,0.0106135671958,0.0106135671958,0.00302626099437,-0.0300883520395,147.111190796,147.111190796,-0.340652793646,-1.08704411983,2024,2031,2567,2039,2039,2890,3396,3394,3203,3324,3039,3019,3122,3113,3204,2813,3379,3382,3214,3331,3091,3321,3350,3151
1508405304572407972,103,1508405304572032024,plot_matl,0.25,-500.0,0.0293594151735,0.0118779763579,-0.220640584826,-107.450935364,0.349065840244,0.0458823665977,-0.0101884184405,0.029322931543,0.00716256257147,0.00716256257147,-0.00895725842565,-0.00823536049575,-0.774774074554,-0.774774074554,-1.65918326378,94.6108551025,2003,2050,2131,2022,2022,2597,3279,3309,3103,3263,2967,2943,3019,3068,3143,2967,3382,3374,3223,3269,2925,3254,3284,3001,0.009995253,1.030021603,1.029511059,0.401425719261,4500.0,0.393598735332,-0.0127122178674,-0.00782699231058,35.2214622498,0.0,6000.0,-0.0101755233482,0.00419674627483,-0.0101755233482,59.7854309082,0.349065840244,0.0240919683129,0.00363379623741,0.292386978865,-0.0134641965851,-0.0134641965851,0.00329957855865,-0.0301543008536,147.184494019,147.184494019,-0.201839312911,-1.4512578249,2020,2027,2567,2041,2041,2889,3396,3394,3203,3324,3039,3019,3122,3113,3204,2813,3379,3382,3214,3330,3092,3319,3349,3150
1508405304582426189,104,1508405304582082603,plot_matl,0.25,-500.0,0.0293916482478,0.0112495161593,-0.220608353615,-107.752990723,0.349065840244,0.0458823665977,-0.0102104330435,0.0293777752668,0.00731317652389,0.00731317652389,-0.00851890072227,0.0115110557526,-0.781111359596,-0.781111359596,-1.64706909657,94.5316238403,1980,2029,2131,2022,2022,2597,3279,3307,3106,3260,2966,2943,3017,3069,3142,2965,3382,3374,3223,3269,2925,3254,3284,3001,0.010051201,1.040072618,1.045324904,0.401425719261,4500.0,0.394948214293,0.0137825906277,-0.00647751055658,29.1487979889,0.0,6000.0,-0.0102100027725,0.00487821921706,-0.0102100027725,59.8706207275,0.349065840244,0.0240919683129,0.003621611977,0.292550593615,-0.0132104996592,-0.0132104996592,-0.0117822447792,0.0283133983612,147.042327881,147.042327881,-0.165248125792,-1.51726257801,2020,2031,2567,2041,2041,2889,3396,3393,3205,3325,3039,3019,3123,3115,3205,2813,3379,3382,3214,3330,3092,3319,3349,3150
