%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508400768993615568,129,1508400768993165242,plot_matl,0.349065840244,-500.0,0.119081065059,-0.00637721177191,-0.229984790087,-116.495117188,0.349065840244,0.0890657678246,-0.009291713126,0.119023554027,0.0125553887337,0.0125553887337,-0.0136233847588,-0.00527392886579,-0.752904653549,-0.752904653549,-0.555439412594,107.560165405,2032,2066,2117,2028,2028,2679,3312,3335,3140,3285,3000,2970,3052,3084,3166,2949,3389,3383,3225,3280,2939,3274,3302,3023,0.009967862,1.289975429,1.285854198,0.453785598278,4500.0,0.436782151461,-0.00140990933869,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00930387154222,4.74020562251e-05,-0.00930387154222,55.8151741028,0.349065840244,0.0240919683129,-0.0026385190431,0.313653737307,-0.0166075211018,-0.0166075211018,0.00729171838611,0.0346095263958,109.519203186,109.519203186,0.419406652451,0.0456668660045,2029,2026,2549,2030,2030,2939,3425,3422,3240,3360,3082,3061,3162,3154,3242,2865,3410,3416,3251,3366,3136,3353,3386,3187
1508400769003451345,130,1508400769003167208,plot_matl,0.349065840244,-500.0,0.119062624872,0.0148508623242,-0.230003222823,-111.509002686,0.349065840244,0.0890657678246,-0.009291713126,0.119023554027,0.0125553887337,0.0125553887337,-0.0136233847588,-0.00527392886579,-0.752904653549,-0.752904653549,-0.555439412594,107.560165405,2024,2069,2118,2027,2027,2680,3313,3335,3140,3285,3000,2970,3052,3084,3166,2949,3389,3383,3225,3280,2941,3275,3305,3024,0.00999943,1.299976322,1.2999259,0.453785598278,4500.0,0.436782151461,-0.00115430878941,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00930362567306,3.8808600948e-05,-0.00930362567306,55.8151664734,0.349065840244,0.0240919683129,-0.0026385190431,0.313653737307,-0.0166075211018,-0.0166075211018,0.00729171838611,0.0346095263958,109.519203186,109.519203186,0.419406652451,0.0456668660045,2027,2026,2550,2030,2030,2938,3426,3422,3240,3360,3082,3061,3162,3154,3242,2865,3410,3416,3251,3366,3134,3357,3387,3187
1508400769013467077,131,1508400769013170364,plot_matl,0.349065840244,-500.0,0.119064629078,0.0148100964725,-0.230001226068,-111.532043457,0.349065840244,0.0877162888646,-0.00930346176028,0.119055956602,-0.000502041832078,-0.000502041832078,3.30726288666e-05,-0.00587239442393,-0.752209663391,-0.752209663391,-0.449639797211,107.517753601,2029,2068,2118,2027,2027,2680,3313,3336,3139,3286,2998,2969,3049,3086,3166,2948,3388,3383,3225,3280,2941,3275,3305,3024,0.010004054,1.309979747,1.310531074,0.453785598278,4500.0,0.435432672501,-0.0276929885149,-0.0183529462665,82.5882568359,0.0,6000.0,-0.00929057877511,0.0131922224537,-0.00929057877511,51.88438797,0.349065840244,0.0265011657029,-0.00266367918812,0.313649088144,0.00760986050591,0.00760986050591,-0.00753124058247,-0.0269427802414,109.626441956,109.626441956,0.258466005325,0.261510938406,2024,2025,2550,2030,2030,2938,3426,3423,3240,3361,3083,3060,3162,3156,3243,2866,3412,3416,3251,3366,3134,3357,3387,3187
1508400769023503202,132,1508400769023176580,plot_matl,0.349065840244,-500.0,0.119064711034,0.0148118082434,-0.230001136661,-111.461380005,0.349065840244,0.0877162888646,-0.00930346176028,0.119055956602,-0.000502041832078,-0.000502041832078,3.30726288666e-05,-0.00587239442393,-0.752209663391,-0.752209663391,-0.449639797211,107.517753601,2044,2073,2117,2027,2027,2680,3313,3336,3139,3286,2998,2969,3049,3086,3166,2948,3388,3383,3225,3281,2940,3276,3306,3021,0.010007485,1.319987007,1.32098802,0.453785598278,4500.0,0.438131630421,0.0263576749712,-0.0156539846212,70.4429244995,0.0,6000.0,-0.00929274596274,-0.000183224823559,-0.00929274596274,55.8154411316,0.349065840244,0.0265011657029,-0.00266367918812,0.313649088144,0.00760986050591,0.00760986050591,-0.00753124058247,-0.0269427802414,109.626441956,109.626441956,0.258466005325,0.261510938406,2030,2028,2550,2032,2032,2938,3426,3423,3240,3361,3083,3060,3162,3156,3243,2866,3412,3416,3251,3365,3134,3353,3384,3187
1508400769033559015,133,1508400769033189704,plot_matl,0.349065840244,-500.0,0.119104683399,-0.00683857128024,-0.229961171746,-116.571029663,0.349065840244,0.0877162888646,-0.00930346176028,0.119055956602,-0.000502041832078,-0.000502041832078,3.30726288666e-05,-0.00587239442393,-0.752209663391,-0.752209663391,-0.449639797211,107.517753601,2040,2063,2117,2027,2027,2681,3312,3334,3138,3287,3001,2970,3053,3083,3164,2948,3388,3383,3225,3281,2940,3276,3306,3021,0.010021327,1.329999723,1.332836491,0.453785598278,4500.0,0.436782151461,-0.000725666002836,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00929451361299,-0.000150083375047,-0.00929451361299,55.8139190674,0.349065840244,0.0265011657029,-0.00266367918812,0.313649088144,0.00760986050591,0.00760986050591,-0.00753124058247,-0.0269427802414,109.626441956,109.626441956,0.258466005325,0.261510938406,2035,2025,2550,2032,2032,2937,3427,3426,3242,3359,3082,3060,3163,3155,3242,2866,3412,3416,3251,3365,3134,3353,3384,3187
1508400769043412357,134,1508400769043179592,plot_matl,0.349065840244,-500.0,0.119100868702,0.0141118420288,-0.229964986444,-111.604042053,0.349065840244,0.0877162888646,-0.00930346176028,0.119055956602,-0.000502041832078,-0.000502041832078,3.30726288666e-05,-0.00587239442393,-0.752209663391,-0.752209663391,-0.449639797211,107.517753601,2041,2076,2117,2027,2027,2681,3312,3334,3138,3287,3001,2970,3053,3083,3164,2949,3391,3383,3225,3280,2938,3274,3303,3025,0.009978676,1.33998885,1.337142584,0.453785598278,4500.0,0.436782151461,-9.3712566013e-05,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00929595623165,-0.000123027988593,-0.00929595623165,55.8154907227,0.349065840244,0.0265011657029,-0.00266367918812,0.313649088144,0.00760986050591,0.00760986050591,-0.00753124058247,-0.0269427802414,109.626441956,109.626441956,0.258466005325,0.261510938406,2033,2026,2549,2032,2032,2937,3427,3426,3242,3359,3082,3060,3163,3155,3242,2864,3412,3419,3251,3365,3134,3353,3384,3185
1508400769053422733,135,1508400769053168684,plot_matl,0.349065840244,-500.0,0.119114764035,0.0138195380569,-0.22995108366,-111.55039978,0.349065840244,0.0877162888646,-0.00928472168744,0.119107164443,0.000216952888877,0.000216952888877,-0.000353115552571,-0.00689590955153,-0.679713368416,-0.679713368416,-0.316978901625,107.220581055,2026,2063,2117,2027,2027,2679,3313,3335,3141,3286,2998,2969,3052,3083,3164,2949,3391,3383,3225,3280,2938,3274,3303,3025,0.009990518,1.349978925,1.34871993,0.453785598278,4500.0,0.436782151461,0.000950434536207,-0.0170034654438,76.5155944824,0.0,6000.0,-0.0092854257673,-0.00033914775122,-0.0092854257673,55.8196907043,0.349065840244,0.0265011657029,-0.00269877980463,0.313793808222,0.00441128201783,0.00441128201783,0.00852646678686,0.0320235639811,109.68775177,109.68775177,0.439972728491,0.293313443661,2028,2032,2549,2030,2030,2937,3426,3425,3241,3360,3084,3059,3162,3155,3242,2864,3412,3419,3251,3365,3134,3353,3384,3185
1508400769063594047,136,1508400769063222176,plot_matl,0.349065840244,-500.0,0.119105659425,-0.00687111821026,-0.22996018827,-116.72668457,0.349065840244,0.0877162888646,-0.00928472168744,0.119107164443,0.000216952888877,0.000216952888877,-0.000353115552571,-0.00689590955153,-0.679713368416,-0.679713368416,-0.316978901625,107.220581055,2033,2070,2117,2027,2027,2679,3313,3335,3141,3286,2998,2969,3052,3086,3164,2946,3387,3383,3224,3284,2940,3275,3302,3025,0.010052416,1.360031569,1.367128576,0.453785598278,4500.0,0.436782151461,0.00080911203986,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00928852707148,-0.000277615123196,-0.00928852707148,55.8208198547,0.349065840244,0.0265011657029,-0.00269877980463,0.313793808222,0.00441128201783,0.00441128201783,0.00852646678686,0.0320235639811,109.68775177,109.68775177,0.439972728491,0.293313443661,2031,2030,2549,2030,2030,2937,3426,3425,3241,3360,3084,3059,3162,3154,3244,2865,3410,3415,3250,3366,3135,3354,3385,3185
1508400769073611460,137,1508400769073191062,plot_matl,0.349065840244,-500.0,0.119099915028,-0.00675314012915,-0.229965940118,-116.593292236,0.349065840244,0.0877162888646,-0.00928472168744,0.119107164443,0.000216952888877,0.000216952888877,-0.000353115552571,-0.00689590955153,-0.679713368416,-0.679713368416,-0.316978901625,107.220581055,2034,2066,2117,2025,2025,2680,3313,3334,3138,3286,3000,2969,3052,3086,3164,2946,3387,3383,3224,3284,2940,3275,3302,3022,0.009970829,1.370001479,1.366003573,0.453785598278,4500.0,0.436782151461,0.000192010222236,-0.0170034654438,76.5155944824,0.0,6000.0,-0.00929104723036,-0.000227596843615,-0.00929104723036,55.8152160645,0.349065840244,0.0265011657029,-0.00269877980463,0.313793808222,0.00441128201783,0.00441128201783,0.00852646678686,0.0320235639811,109.68775177,109.68775177,0.439972728491,0.293313443661,2024,2023,2550,2032,2032,2938,3428,3424,3240,3359,3083,3059,3162,3154,3244,2865,3410,3415,3250,3366,3135,3354,3385,3187
1508400769083546318,138,1508400769083177896,plot_matl,0.349065840244,-500.0,0.119074456394,-0.00626154663041,-0.229991391301,-116.500587463,0.349065840244,0.0877162888646,-0.00928472168744,0.119107164443,0.000216952888877,0.000216952888877,-0.000353115552571,-0.00689590955153,-0.679713368416,-0.679713368416,-0.316978901625,107.220581055,2028,2065,2117,2025,2025,2680,3313,3334,3138,3286,3000,2970,3050,3084,3162,2948,3391,3382,3223,3280,2939,3275,3302,3022,0.009985637,1.379988058,1.378017906,0.453785598278,4500.0,0.438131630421,0.0268779080361,-0.0156539846212,70.4429244995,0.0,6000.0,-0.00929312687367,-0.000186325472896,-0.00929312687367,55.8158378601,0.349065840244,0.0265011657029,-0.00269877980463,0.313793808222,0.00441128201783,0.00441128201783,0.00852646678686,0.0320235639811,109.68775177,109.68775177,0.439972728491,0.293313443661,2027,2029,2550,2032,2032,2938,3428,3424,3240,3359,3083,3061,3162,3155,3243,2865,3412,3416,3250,3365,3133,3354,3385,3187
