%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508409881938288880,134,1508409881937710578,plot_matl,0.25,-500.0,0.127376064658,-0.00699689099565,-0.122623942792,-62.9654579163,0.349065840244,0.0377854779363,0.000849861011375,0.127343341708,-0.00678872410208,-0.00678872410208,-0.00376550434157,-0.00635197106749,-1.4229747057,-1.4229747057,-1.95161402225,104.03792572,2022,2050,2111,2029,2029,2652,3301,3328,3130,3279,2992,2954,3034,3071,3153,2940,3385,3379,3220,3278,2933,3267,3301,3020,0.00997789,1.339997856,1.33703726,0.401425719261,4500.0,0.386851340532,-0.0106732631102,-0.014574399218,65.5847930908,0.0,6000.0,0.00094000028912,-0.0055193034932,0.0,0.0,0.349065840244,0.0240919683129,-0.014925878495,0.297010868788,-0.00832011178136,-0.00832011178136,-0.00538498349488,-0.00015838429681,151.885513306,151.885513306,-53.8676834106,0.00204778299667,2021,2019,2597,2041,2041,2949,3413,3415,3243,3352,3079,2993,3116,3094,3205,2790,3383,3398,3233,3352,3119,3329,3372,3177
1508409881948118217,135,1508409881947724083,plot_matl,0.25,-500.0,0.127348840237,-0.00644920254126,-0.122651159763,-62.9211997986,0.349065840244,0.0391349606216,0.000934377370868,0.127390012145,0.00812891870737,0.00812891870737,-0.00540666887537,0.0135892024264,-1.57093334198,-1.57093334198,-1.3559422493,104.435272217,2031,2038,2111,2029,2029,2652,3301,3328,3130,3281,2992,2952,3036,3070,3153,2939,3385,3379,3220,3278,2933,3267,3301,3020,0.010013803,1.350011471,1.351863405,0.401425719261,4500.0,0.386851340532,-0.0111573031172,-0.014574399218,65.5847930908,0.0,6000.0,0.000900790677406,-0.0047430335544,0.0,0.0,0.349065840244,0.0240919683129,-0.0148731647059,0.296919614077,-0.0068279299885,-0.0068279299885,-0.00646141171455,0.00174115318805,151.677108765,151.677108765,-53.4377784729,0.252986818552,2026,2010,2597,2041,2041,2949,3414,3417,3243,3353,3079,2992,3116,3094,3205,2788,3383,3398,3233,3352,3119,3329,3372,3177
1508409881958188360,136,1508409881957787030,plot_matl,0.25,-500.0,0.12734927237,-0.00644213799387,-0.12265072763,-62.851600647,0.349065840244,0.0391349606216,0.000934377370868,0.127390012145,0.00812891870737,0.00812891870737,-0.00540666887537,0.0135892024264,-1.57093334198,-1.57093334198,-1.3559422493,104.435272217,2017,2031,2111,2027,2027,2652,3301,3328,3130,3281,2992,2952,3036,3070,3153,2939,3385,3378,3219,3278,2934,3269,3300,3019,0.010064531,1.360075445,1.368776216,0.401425719261,4500.0,0.386851340532,-0.0110711148009,-0.014574399218,65.5847930908,0.0,6000.0,0.000907464069314,-0.00486306194216,0.0,0.0,0.349065840244,0.0240919683129,-0.0148731647059,0.296919614077,-0.0068279299885,-0.0068279299885,-0.00646141171455,0.00174115318805,151.677108765,151.677108765,-53.4377784729,0.252986818552,2016,2008,2598,2040,2040,2949,3414,3417,3243,3353,3079,2992,3116,3094,3205,2788,3387,3397,3232,3351,3119,3327,3372,3176
1508409881968215550,137,1508409881967749048,plot_matl,0.25,-500.0,0.127312213182,-0.00566810648888,-0.122687786818,-62.7369689941,0.349065840244,0.0391349606216,0.000934377370868,0.127390012145,0.00812891870737,0.00812891870737,-0.00540666887537,0.0135892024264,-1.57093334198,-1.57093334198,-1.3559422493,104.435272217,2015,2027,2111,2027,2027,2654,3300,3329,3132,3282,2992,2954,3035,3070,3153,2939,3385,3378,3219,3278,2934,3269,3300,3019,0.009960199,1.370036876,1.364547263,0.401425719261,4500.0,0.388200819492,0.0155558120459,-0.013224917464,59.5121307373,0.0,6000.0,0.00089830358047,-0.0046994080767,0.0,0.0,0.349065840244,0.0240919683129,-0.0148731647059,0.296919614077,-0.0068279299885,-0.0068279299885,-0.00646141171455,0.00174115318805,151.677108765,151.677108765,-53.4377784729,0.252986818552,2019,2010,2598,2040,2040,2950,3415,3412,3243,3350,3080,2992,3117,3095,3205,2788,3387,3397,3232,3351,3119,3327,3372,3176
1508409881978053602,138,1508409881977717285,plot_matl,0.25,-500.0,0.127314910293,-0.00574789755046,-0.122685089707,-62.7303085327,0.349065840244,0.0391349606216,0.000934377370868,0.127390012145,0.00812891870737,0.00812891870737,-0.00540666887537,0.0135892024264,-1.57093334198,-1.57093334198,-1.3559422493,104.435272217,2006,2039,2111,2027,2027,2654,3300,3329,3132,3282,2992,2954,3035,3070,3153,2939,3384,3380,3221,3279,2933,3269,3300,3019,0.009967625,1.380004943,1.37553225,0.401425719261,4500.0,0.386851340532,-0.0125188995153,-0.014574399218,65.5847930908,0.0,6000.0,0.000880329636857,-0.00434144679457,0.0,0.0,0.349065840244,0.0240919683129,-0.0148731647059,0.296919614077,-0.0068279299885,-0.0068279299885,-0.00646141171455,0.00174115318805,151.677108765,151.677108765,-53.4377784729,0.252986818552,2013,2013,2598,2040,2040,2950,3415,3412,3243,3350,3080,2992,3117,3095,3204,2789,3387,3398,3233,3351,3117,3330,3373,3178
1508409881988207401,139,1508409881987770845,plot_matl,0.25,-500.0,0.127320319414,-0.00588453281671,-0.122679680586,-62.7981910706,0.349065840244,0.0377854779363,0.000889450893737,0.127309054136,-0.00613217893988,-0.00613217893988,0.00890056975186,-0.00563102820888,-1.45267772675,-1.45267772675,-0.803156197071,104.339889526,2002,2042,2112,2027,2027,2656,3303,3328,3131,3281,2994,2952,3035,3070,3153,2939,3384,3380,3221,3279,2933,3269,3300,3019,0.010054594,1.390058989,1.397588566,0.401425719261,4500.0,0.386851340532,-0.0142255462706,-0.014574399218,65.5847930908,0.0,6000.0,0.000902584753931,0.00862731784582,0.0,0.0,0.349065840244,0.0265011657029,-0.0148629862815,0.29654031992,0.0164656825364,0.0164656825364,-0.00665004597977,0.0095561882481,152.161712646,152.161712646,-53.0547981262,-0.0988082438707,2013,2017,2598,2045,2045,2951,3414,3416,3242,3352,3081,2992,3117,3095,3204,2789,3387,3398,3233,3351,3117,3330,3373,3178
1508409881998174379,140,1508409881997728117,plot_matl,0.25,-500.0,0.127286553383,0.0156410448253,-0.122713454068,-57.8233985901,0.349065840244,0.0377854779363,0.000889450893737,0.127309054136,-0.00613217893988,-0.00613217893988,0.00890056975186,-0.00563102820888,-1.45267772675,-1.45267772675,-0.803156197071,104.339889526,2002,2042,2112,2027,2027,2656,3303,3328,3131,3281,2994,2952,3035,3070,3153,2939,3384,3380,3221,3279,2933,3269,3300,3019,0.0099561,1.400016076,1.393854,0.401425719261,4500.0,0.388200819492,0.0125783374533,-0.013224917464,59.5121307373,0.0,6000.0,0.000907244917471,0.00850983988494,0.0,0.0,0.349065840244,0.0265011657029,-0.0148629862815,0.29654031992,0.0164656825364,0.0164656825364,-0.00665004597977,0.0095561882481,152.161712646,152.161712646,-53.0547981262,-0.0988082438707,2013,2017,2598,2045,2045,2951,3414,3416,3242,3352,3081,2992,3117,3095,3204,2789,3387,3398,3233,3351,3117,3330,3373,3178
1508409882008158487,141,1508409882007751504,plot_matl,0.25,-500.0,0.127258062363,0.0161745101213,-0.122741937637,-57.225440979,0.349065840244,0.0377854779363,0.000889450893737,0.127309054136,-0.00613217893988,-0.00613217893988,0.00890056975186,-0.00563102820888,-1.45267772675,-1.45267772675,-0.803156197071,104.339889526,2026,2059,2112,2029,2029,2654,3302,3329,3131,3279,2994,2952,3037,3071,3153,2937,3385,3379,3221,3277,2933,3269,3300,3017,0.010023578,1.410039628,1.413324498,0.401425719261,4500.0,0.388200819492,0.0126964813098,-0.013224917464,59.5121307373,0.0,6000.0,0.000900207262021,0.00866556540132,0.0,0.0,0.349065840244,0.0265011657029,-0.0148629862815,0.29654031992,0.0164656825364,0.0164656825364,-0.00665004597977,0.0095561882481,152.161712646,152.161712646,-53.0547981262,-0.0988082438707,2028,2023,2598,2045,2045,2950,3415,3416,3245,3353,3081,2992,3116,3093,3203,2787,3387,3398,3233,3351,3120,3330,3372,3177
1508409882018148267,142,1508409882017735457,plot_matl,0.25,-500.0,0.127293080091,0.0154993850738,-0.122706919909,-57.2043304443,0.349065840244,0.0377854779363,0.000889450893737,0.127309054136,-0.00613217893988,-0.00613217893988,0.00890056975186,-0.00563102820888,-1.45267772675,-1.45267772675,-0.803156197071,104.339889526,2026,2059,2112,2029,2029,2654,3302,3329,3131,3279,2994,2952,3037,3071,3153,2937,3385,3379,3221,3277,2933,3269,3300,3017,0.009983902,1.420023726,1.417714084,0.401425719261,4500.0,0.389550298452,0.0390563607216,-0.01187543571,53.4394645691,0.0,6000.0,0.000893020420335,-0.00461537810043,0.0,0.0,0.349065840244,0.0265011657029,-0.0148629862815,0.29654031992,0.0164656825364,0.0164656825364,-0.00665004597977,0.0095561882481,152.161712646,152.161712646,-53.0547981262,-0.0988082438707,2028,2023,2598,2045,2045,2950,3415,3416,3245,3353,3081,2992,3116,3093,3203,2787,3387,3398,3233,3351,3120,3330,3372,3177
1508409882028035741,143,1508409882027729562,plot_matl,0.25,-500.0,0.127263888717,-0.0047505274415,-0.122736103833,-62.515789032,0.349065840244,0.0391349606216,0.000888813636266,0.127288177609,0.00579850655049,0.00579850655049,-0.00453042704612,-0.00525000691414,-1.08487153053,-1.08487153053,-1.29535722733,103.758155823,2038,2072,2111,2031,2031,2653,3300,3328,3131,3279,2992,2954,3035,3071,3154,2938,3384,3380,3221,3277,2932,3269,3299,3021,0.009992622,1.4300173,1.428944946,0.401425719261,4500.0,0.386851340532,-0.0160408914089,-0.014574399218,65.5847930908,0.0,6000.0,0.000923927582335,-0.00524646323174,0.0,0.0,0.349065840244,0.0240919683129,-0.0149087393656,0.296844869852,-0.00550376297906,-0.00550376297906,0.00965305883437,0.00325519754551,152.052963257,152.052963257,-52.7437324524,-0.0382229983807,2036,2037,2597,2045,2045,2951,3414,3418,3245,3353,3080,2991,3118,3094,3203,2788,3384,3400,3231,3352,3120,3331,3372,3176
