%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ4_set_point,field.FFJ4_position_gain,field.FFJ4_process_value,field.FFJ4_process_value_dot,field.FFJ4_error,field.FFJ4_command,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.FFJ0_set_point,field.FFJ0_position_gain,field.FFJ0_process_value,field.FFJ0_process_value_dot,field.FFJ0_error,field.FFJ0_command,field.FFJ3_set_point,field.FFJ3_position_gain,field.FFJ3_process_value,field.FFJ3_process_value_dot,field.FFJ3_error,field.FFJ3_command,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508410368671286275,146,1508410368670593850,plot_matl,-0.300000011921,-2000.0,-0.266718059778,0.00374858034775,0.0332819335163,67.4445037842,0.349065840244,0.00944636948407,-0.00200102571398,-0.266720205545,-0.0149796530604,-0.0149796530604,0.000157227710588,-0.00219124415889,-0.487442135811,-0.487442135811,-0.410065978765,-95.7851333618,2011,2051,2094,2029,2029,2751,3333,3355,3163,3303,3022,2983,3067,3084,3172,2890,3378,3372,3200,3277,2923,3283,3307,3027,0.010082266,1.460077759,1.472010836,0.349065840244,4500.0,0.359861701727,-0.00321573996916,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00199964269996,0.000128724728711,0.0,0.0,0.349065840244,0.0265011657029,-0.00422107568011,0.32129496336,0.00182295229752,0.00182295229752,0.00894929748029,0.00217739958316,156.010437012,156.010437012,-0.787086725235,106.668167114,2019,2026,2541,2039,2039,2938,3429,3429,3250,3369,3096,3068,3168,3160,3249,2866,3415,3424,3259,3374,3147,3360,3393,3195
1508410368680923832,147,1508410368680533123,plot_matl,-0.300000011921,-2000.0,-0.266728520393,0.00395166268572,0.0332714915276,67.4692764282,0.349065840244,0.00944636948407,-0.00200102571398,-0.266720205545,-0.0149796530604,-0.0149796530604,0.000157227710588,-0.00219124415889,-0.487442135811,-0.487442135811,-0.410065978765,-95.7851333618,2015,2058,2094,2029,2029,2751,3333,3355,3163,3302,3019,2980,3067,3084,3170,2888,3377,3373,3201,3277,2923,3283,3307,3027,0.009937487,1.470016673,1.460810589,0.349065840244,4500.0,0.359861701727,-0.00494129024446,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00199758657254,8.63543027663e-05,0.0,0.0,0.349065840244,0.0265011657029,-0.00422107568011,0.32129496336,0.00182295229752,0.00182295229752,0.00894929748029,0.00217739958316,156.010437012,156.010437012,-0.787086725235,106.668167114,2020,2030,2541,2039,2039,2938,3429,3429,3250,3369,3096,3064,3165,3159,3246,2864,3415,3422,3256,3374,3147,3360,3393,3195
1508410368690971048,148,1508410368690540317,plot_matl,-0.300000011921,-2000.0,-0.266724854708,0.00388425868005,0.0332751311362,67.4696884155,0.349065840244,0.00944636948407,-0.00200102571398,-0.266720205545,-0.0149796530604,-0.0149796530604,0.000157227710588,-0.00219124415889,-0.487442135811,-0.487442135811,-0.410065978765,-95.7851333618,2023,2057,2092,2030,2030,2750,3335,3355,3163,3302,3019,2980,3067,3084,3170,2888,3377,3373,3201,3275,2920,3283,3308,3030,0.010008176,1.480024456,1.481210048,0.349065840244,4500.0,0.359861701727,-0.0050494056195,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00197206158191,-0.000425824458944,0.0,0.0,0.349065840244,0.0265011657029,-0.00422107568011,0.32129496336,0.00182295229752,0.00182295229752,0.00894929748029,0.00217739958316,156.010437012,156.010437012,-0.787086725235,106.668167114,2023,2023,2541,2037,2037,2937,3429,3429,3250,3369,3096,3064,3165,3159,3246,2864,3415,3422,3256,3373,3144,3359,3393,3195
1508410368701197701,149,1508410368700585764,plot_matl,-0.300000011921,-2000.0,-0.266722887754,0.00384132075123,0.0332771129906,67.49974823,0.349065840244,0.0107958512381,-0.00197206158191,-0.266724854708,-0.00252470280975,-0.00252470280975,-0.000425824458944,0.00388425868005,-0.241503894329,-0.241503894329,-0.544909536839,-95.4645843506,2019,2049,2092,2030,2030,2750,3335,3351,3163,3298,3020,2979,3066,3082,3170,2889,3378,3373,3201,3275,2920,3283,3308,3030,0.010045838,1.490069652,1.496829862,0.349065840244,4500.0,0.359861701727,-0.00568683631718,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00197593914345,-0.000348432891769,0.0,0.0,0.349065840244,0.0265011657029,-0.00422245031223,0.321186035872,0.00263700354844,0.00263700354844,0.00873996969312,0.00553090404719,155.758636475,155.758636475,-1.14816653728,106.959022522,2025,2019,2541,2037,2037,2937,3429,3428,3247,3368,3093,3064,3166,3158,3248,2865,3414,3422,3256,3373,3144,3359,3393,3195
1508410368710926695,150,1508410368710544354,plot_matl,-0.300000011921,-2000.0,-0.266720443964,0.00379603519104,0.0332795530558,67.4705581665,0.349065840244,0.0107958512381,-0.00197206158191,-0.266724854708,-0.00252470280975,-0.00252470280975,-0.000425824458944,0.00388425868005,-0.241503894329,-0.241503894329,-0.544909536839,-95.4645843506,2020,2060,2092,2028,2028,2750,3335,3351,3163,3298,3020,2979,3066,3082,3170,2889,3378,3373,3202,3276,2920,3281,3310,3029,0.009957512,1.500028543,1.4936268,0.349065840244,4500.0,0.359861701727,-0.00514238933101,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00197910610586,-0.000285221089143,0.0,0.0,0.349065840244,0.0265011657029,-0.00422245031223,0.321186035872,0.00263700354844,0.00263700354844,0.00873996969312,0.00553090404719,155.758636475,155.758636475,-1.14816653728,106.959022522,2017,2021,2540,2038,2038,2937,3429,3428,3247,3368,3093,3064,3166,3158,3248,2865,3414,3420,3256,3371,3144,3357,3391,3197
1508410368720964996,151,1508410368720539883,plot_matl,-0.300000011921,-2000.0,-0.266724765301,0.00387953803875,0.0332752466202,67.4168777466,0.349065840244,0.0107958512381,-0.00197206158191,-0.266724854708,-0.00252470280975,-0.00252470280975,-0.000425824458944,0.00388425868005,-0.241503894329,-0.241503894329,-0.544909536839,-95.4645843506,2019,2058,2092,2028,2028,2750,3334,3353,3162,3298,3020,2979,3066,3083,3169,2889,3378,3373,3202,3276,2920,3281,3310,3029,0.009994176,1.510023741,1.509120576,0.349065840244,4500.0,0.361211180687,0.0215266868472,0.0121453320608,-54.6539955139,0.0,6000.0,-0.00198168936186,-0.000233659666264,0.0,0.0,0.349065840244,0.0265011657029,-0.00422245031223,0.321186035872,0.00263700354844,0.00263700354844,0.00873996969312,0.00553090404719,155.758636475,155.758636475,-1.14816653728,106.959022522,2015,2021,2540,2038,2038,2938,3429,3429,3249,3369,3096,3063,3164,3160,3245,2865,3414,3420,3256,3371,3144,3357,3391,3197
1508410368730973254,152,1508410368730548611,plot_matl,-0.300000011921,-2000.0,-0.266727030277,0.00392997963354,0.0332729667425,67.4870529175,0.349065840244,0.0107958512381,-0.00197206158191,-0.266724854708,-0.00252470280975,-0.00252470280975,-0.000425824458944,0.00388425868005,-0.241503894329,-0.241503894329,-0.544909536839,-95.4645843506,2010,2053,2092,2028,2028,2750,3334,3353,3162,3298,3020,2979,3066,3083,3169,2889,3376,3372,3200,3273,2919,3283,3306,3028,0.010008312,1.520032259,1.521263424,0.349065840244,4500.0,0.359861701727,-0.00672042742372,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00197151303291,-0.000435293157352,0.0,0.0,0.349065840244,0.0265011657029,-0.00422245031223,0.321186035872,0.00263700354844,0.00263700354844,0.00873996969312,0.00553090404719,155.758636475,155.758636475,-1.14816653728,106.959022522,2024,2024,2540,2038,2038,2938,3429,3429,3249,3369,3096,3063,3164,3160,3245,2864,3415,3422,3257,3374,3142,3359,3392,3195
1508410368740956870,153,1508410368740537174,plot_matl,-0.300000011921,-2000.0,-0.266724854708,-0.00209256494418,0.0332751460373,66.0548171997,0.349065840244,0.0107958512381,-0.00197151303291,-0.266727030277,-0.00336021371186,-0.00336021371186,-0.000435293157352,0.00392997963354,0.146400362253,0.146400362253,-0.438110083342,-95.349319458,2023,2039,2092,2029,2029,2751,3333,3352,3163,3299,3018,2981,3065,3083,3169,2889,3376,3372,3200,3273,2919,3283,3306,3028,0.009988162,1.530020812,1.528188786,0.349065840244,4500.0,0.359861701727,-0.00600293837488,0.0107958512381,-48.5813293457,0.0,6000.0,-0.00197548116557,-0.00035635905806,0.0,0.0,0.349065840244,0.0265011657029,-0.00419299770147,0.320884555578,0.00282507296652,0.00282507296652,-0.00730206398293,-0.0496112219989,155.968765259,155.968765259,-0.812205255032,106.71685791,2029,2018,2540,2036,2036,2937,3429,3431,3247,3367,3095,3065,3166,3160,3245,2864,3415,3422,3257,3374,3142,3359,3392,3195
1508410368750902496,154,1508410368750532432,plot_matl,-0.300000011921,-2000.0,-0.266722291708,-0.00215030787513,0.0332777015865,66.0330734253,0.349065840244,0.0107958512381,-0.00197151303291,-0.266727030277,-0.00336021371186,-0.00336021371186,-0.000435293157352,0.00392997963354,0.146400362253,0.146400362253,-0.438110083342,-95.349319458,2026,2047,2092,2029,2029,2751,3333,3352,3163,3299,3018,2981,3065,3086,3168,2890,3375,3370,3202,3273,2919,3279,3310,3028,0.009996295,1.540016692,1.53942943,0.349065840244,4500.0,0.361211180687,0.0208700820804,0.0121453320608,-54.6539955139,0.0,6000.0,-0.00197874917649,-0.000291353440844,0.0,0.0,0.349065840244,0.0265011657029,-0.00419299770147,0.320884555578,0.00282507296652,0.00282507296652,-0.00730206398293,-0.0496112219989,155.968765259,155.968765259,-0.812205255032,106.71685791,2028,2020,2540,2036,2036,2937,3429,3431,3247,3367,3095,3065,3166,3159,3247,2865,3415,3420,3257,3371,3142,3358,3391,3195
1508410368760950265,155,1508410368760548297,plot_matl,-0.300000011921,-2000.0,-0.266722291708,-0.00215030787513,0.0332777015865,66.0330734253,0.349065840244,0.0107958512381,-0.00197151303291,-0.266727030277,-0.00336021371186,-0.00336021371186,-0.000435293157352,0.00392997963354,0.146400362253,0.146400362253,-0.438110083342,-95.349319458,2014,2035,2093,2026,2026,2752,3335,3351,3162,3301,3021,2981,3065,3086,3168,2890,3375,3370,3202,3273,2919,3279,3310,3028,0.010014216,1.550031945,1.55220348,0.349065840244,4500.0,0.361211180687,0.0208700820804,0.0121453320608,-54.6539955139,0.0,6000.0,-0.00198139483109,-0.000238731241552,0.0,0.0,0.349065840244,0.0265011657029,-0.00419299770147,0.320884555578,0.00282507296652,0.00282507296652,-0.00730206398293,-0.0496112219989,155.968765259,155.968765259,-0.812205255032,106.71685791,2029,2021,2540,2036,2036,2938,3429,3429,3248,3366,3094,3065,3166,3159,3247,2865,3415,3420,3257,3371,3142,3358,3391,3195
